#{"t_start": 1746506379.11345, "env_id": "MergeEnv-v0"}
r,l,t
-7.872738,50,126.942419
-7.814065,50,127.580711
-9.791784,50,128.13324
-9.845702,50,128.683323
-9.866378,50,129.244999
-9.780662,50,129.791316
-12.706094,50,130.32953
-8.059237,50,131.20453
-11.721312,50,131.748666
-9.846141,50,132.42274
-7.746625,50,132.957146
-7.701264,50,133.493548
-7.709317,50,134.030509
-10.814672,50,134.566516
-8.723741,50,135.102408
-9.695491,50,135.679141
-7.805757,50,136.239581
-10.774385,50,136.781548
-7.744374,50,137.339912
-9.841015,50,137.882069
-7.721975,50,138.415661
-14.804618,50,138.951008
-8.843527,50,139.481245
-13.759267,50,140.011822
-7.85423,50,140.54611
-8.720886,50,141.084068
-10.77536,50,141.615831
-8.72216,50,142.161898
-8.705119,50,142.767306
-7.719356,50,143.301148
-8.702593,50,143.842085
-7.713853,50,144.378652
-8.701534,50,144.914551
-8.775213,50,145.475783
-7.708486,50,146.013091
-15.740936,50,146.603654
-7.752576,50,147.159013
-8.84915,50,147.699355
-9.815069,50,148.281427
-7.866358,50,148.82402
-15.850979,50,149.361133
-10.724884,50,149.90494
-8.801706,50,150.483419
-8.828194,50,151.023495
-7.716265,50,151.568673
-9.746,50,152.226679
-7.832764,50,152.773517
-8.777882,50,153.323902
-7.774217,50,153.873415
-9.759838,50,154.42047
-7.726595,50,154.970901
-10.796345,50,155.519149
-7.709875,50,156.076836
-10.726457,50,156.625164
-9.724053,50,157.193164
-11.737098,50,157.776375
-7.779816,50,158.351775
-7.956506,50,159.232711
-8.706605,50,159.785572
-8.719438,50,160.350508
-9.724991,50,160.905564
-8.825885,50,161.459606
-12.732537,50,162.011749
-7.803221,50,162.556615
-9.831611,50,163.110139
-8.79423,50,163.701023
-7.765044,50,164.24793
-7.777239,50,164.793133
-7.745984,50,165.347924
-9.756576,50,165.890786
-8.776043,50,166.440856
-7.70163,50,166.985515
-7.777336,50,167.524385
-7.730546,50,168.128186
-7.750804,50,168.750112
-8.777913,50,169.294412
-9.827812,50,169.850242
-12.702183,50,170.516317
-7.775401,50,171.062896
-11.719287,50,171.608342
-10.829469,50,172.186238
-9.706381,50,172.806215
-10.699054,50,173.350293
-9.751494,50,173.892229
-8.886224,50,174.436949
-7.827763,50,174.983545
-10.723847,50,175.522347
-8.705241,50,176.060326
-9.723116,50,176.599018
-9.88426,50,177.136777
-8.74523,50,177.673385
-9.744555,50,178.216741
-7.762701,50,178.767412
-7.81823,50,179.419605
-7.779412,50,179.961431
-7.784787,50,180.521971
-7.806192,50,181.063791
-7.827127,50,181.613951
-8.721825,50,182.155664
-7.792315,50,182.693143
-7.714499,50,183.234745
-7.729196,50,183.777441
-11.712637,50,184.321115
-7.726211,50,184.864161
-7.788703,50,185.405084
-9.733095,50,185.945549
-8.72401,50,186.488743
-8.006202,50,187.342326
-7.748897,50,187.87943
-7.831533,50,188.526951
-7.699281,50,189.067382
-7.695501,50,189.725369
-8.736571,50,190.313707
-9.739905,50,190.860812
-7.725925,50,191.426903
-8.696401,50,191.972292
-8.836126,50,192.53479
-9.743516,50,193.080731
-11.741879,50,193.626029
-8.702376,50,194.170078
-7.701223,50,194.713127
-9.723418,50,195.259145
-8.792498,50,195.804279
-8.77467,50,196.349866
-9.817999,50,196.905499
-11.715238,50,197.444834
-8.745547,50,197.987802
-7.70323,50,198.532388
-7.773064,50,199.079604
-9.757551,50,199.679816
-7.802508,50,200.235184
-8.745034,50,200.848467
-8.780662,50,201.401326
-8.748984,50,201.951113
-8.82781,50,202.506841
-10.883427,50,203.127681
-8.745289,50,203.673142
-8.731269,50,204.225744
-12.735577,50,204.766991
-8.722208,50,205.383053
-9.700092,50,205.949208
-9.849474,50,206.500914
-7.714663,50,207.046004
-8.837375,50,207.595384
-7.771144,50,208.142802
-7.849745,50,208.68793
-7.705648,50,209.230017
-7.713541,50,209.778368
-9.700516,50,210.389828
-7.697058,50,210.948889
