#{"t_start": 1746507861.963455, "env_id": "MergeEnv-v0"}
r,l,t
-7.416614,50,189.875252
-8.442675,50,190.823599
-11.63476,50,191.744302
-7.397377,50,192.668524
-8.080268,50,193.590854
-6.932295,50,194.567477
-7.420956,50,195.510645
-7.680568,50,196.426397
-6.812318,50,197.33417
-6.089343,50,198.23521
-8.628872,50,199.315243
-10.595687,50,200.235298
-6.887868,50,201.134698
-6.878894,50,202.026751
-0.19372,23,202.467547
-4.867067,50,203.362178
0.192042,23,203.796364
-5.69003,50,204.748722
0.092541,25,205.214799
-7.057264,50,206.101169
-6.588746,26,206.579922
-1.081605,36,207.229628
-5.394273,50,208.106151
-8.828391,50,209.076128
-7.760557,50,210.121529
-7.74571,50,211.14295
-3.918668,50,212.41956
-7.069395,50,213.30115
-0.624001,24,213.748794
-0.640548,30,214.291269
-7.360542,50,215.161704
-10.458015,50,216.028132
-8.561565,50,216.898659
-10.070381,50,217.755498
-9.38907,50,218.616323
-10.402244,50,219.55549
-10.538086,50,220.435831
-3.336059,28,220.985672
-12.385325,50,221.856346
-10.804943,50,222.734033
-12.411311,50,223.598913
-4.934769,26,224.065785
-7.76114,50,224.929581
-12.508902,50,225.778108
-0.836383,26,226.236165
-7.122175,50,227.092906
-9.744796,50,227.949519
-9.426243,50,228.875363
-7.882631,50,229.786905
-0.996533,25,230.233545
-6.279307,50,231.093073
-9.02988,50,231.996035
-9.422334,50,232.851782
-10.263528,50,233.699958
-10.721696,50,234.549523
-8.431243,50,235.393533
-9.178705,50,236.239937
-12.03717,50,237.085831
-8.959646,50,237.922522
-8.504267,50,238.761713
-13.077406,50,239.745098
-11.075743,50,240.611488
-13.164346,50,241.457841
-11.402505,50,242.33905
-9.047334,50,243.204154
-8.923806,50,244.051951
-7.326831,50,244.899057
-8.743298,50,245.736076
-9.321172,50,246.570142
-8.934376,50,247.409084
-5.240708,50,248.246192
-9.94413,50,249.198023
-8.674127,50,250.075735
-10.16021,50,250.932297
-12.169305,50,251.772852
-5.650361,50,252.605632
-9.974548,50,253.513429
-0.565215,23,253.919605
-8.427718,50,254.777187
-7.331033,50,256.03018
-0.089401,21,256.390704
-0.747554,27,256.853689
-0.261663,29,257.370657
-0.498001,23,257.771558
-0.291176,26,258.310014
-10.330385,50,259.156161
-5.223882,50,260.069422
-5.068819,50,260.901935
-12.590615,29,261.404131
-0.286235,24,261.823203
-0.219779,22,262.209711
-8.618423,50,263.047942
-1.289019,31,263.586232
-0.409873,32,264.201212
-2.37086,24,264.635032
-0.087882,23,265.185963
-0.41044,32,265.746254
-1.63105,32,266.289946
-1.0884,34,266.864167
-5.685637,50,267.699419
-0.295368,31,268.228873
-1.846491,25,268.661748
-1.954378,21,269.029181
0.21956,26,269.593233
-0.309287,27,270.09604
-0.016964,22,270.481541
-5.028456,50,271.309403
0.014754,21,271.681837
0.090678,25,272.115295
0.456074,20,272.469332
0.416135,23,272.869825
-5.770195,50,273.697586
-2.128424,28,274.172964
0.0071,31,274.721365
-1.907985,24,275.167945
-18.182983,19,275.511637
-5.930603,26,275.958543
0.198451,27,276.42674
0.674269,25,276.857887
-3.185188,31,277.386667
0.187672,20,277.741337
0.162768,20,278.092776
0.274732,20,278.445537
0.242862,27,278.906629
0.065593,23,279.32497
0.564239,24,279.754668
-1.255303,28,280.277059
-24.972026,31,280.802954
0.346745,28,281.281586
0.497785,22,281.665172
0.441427,20,282.016523
0.450127,20,282.375093
0.166699,20,282.732966
-1.908832,22,283.113824
0.196012,22,283.502547
-18.014045,27,283.967932
0.078514,21,284.337228
-4.976638,22,284.720979
0.271951,31,285.2424
0.303707,23,285.672062
0.234462,25,286.130757
-8.9731,24,286.549886
0.331697,25,287.101493
-4.225708,31,287.631805
-0.849915,22,288.013969
0.506298,20,288.366717
0.227966,26,288.808695
-0.220475,29,289.30577
0.283107,25,289.739062
-11.120014,24,290.207743
0.727614,22,290.589774
-0.029105,31,291.117283
-9.141774,26,291.566525
-4.044069,31,292.119038
-0.125901,23,292.523508
0.44718,21,292.895209
-5.753706,27,293.362956
-4.094847,23,293.765659
0.371862,24,294.1803
-1.176879,24,294.602678
